FloorPlanId,Address,City,State,Zip,Size(sqf),HallwayType,OwnerId,Rate,,,,,,,,,
7,2316 Walker Building,Auburn University,AL,36849,644,mixed,16089,3.9,,,,,,,,,
14,2316 Walker Building,Auburn University,AL,36849,576,corridor,16090,3.7,,,,,,,,,
10,2316 Walker Building,Auburn University,AL,36849,868,terraced,16091,3.5,,,,,,,,,
9,2316 Walker Building,Auburn University,AL,36849,1643,terraced,16092,3.6,,,,,,,,,
31,2316 Walker Building,Auburn University,AL,36849,1131,terraced,16093,3.8,,,,,,,,,
9,2316 Walker Building,Auburn University,AL,36849,868,terraced,16094,3.9,,,,,,,,,
37,2316 Walker Building,Auburn University,AL,36849,910,corridor,16095,3.5,,,,,,,,,
28,2316 Walker Building,Auburn University,AL,36849,1437,terraced,16096,3.5,,,,,,,,,
25,2316 Walker Building,Auburn University,AL,36849,1743,terraced,16097,3.6,,,,,,,,,
24,2316 Walker Building,Auburn University,AL,36849,1366,terraced,16098,3.5,,,,,,,,,
9,2316 Walker Building,Auburn University,AL,36849,1366,terraced,16099,3.8,,,,,,,,,
21,2316 Walker Building,Auburn University,AL,36849,914,mixed,16100,3.7,,,,,,,,,
5,2316 Walker Building,Auburn University,AL,36849,914,terraced,16101,3.4,,,,,,,,,
14,2316 Walker Building,Auburn University,AL,36849,1448,terraced,16102,3.5,,,,,,,,,
29,2316 Walker Building,Auburn University,AL,36849,644,mixed,16103,4.5,,,,,,,,,
33,2316 Walker Building,Auburn University,AL,36849,914,mixed,16104,4.5,,,,,,,,,
28,2316 Walker Building,Auburn University,AL,36849,914,mixed,16105,4.6,,,,,,,,,
36,2316 Walker Building,Auburn University,AL,36849,1394,terraced,16106,3.9,,,,,,,,,
1,2316 Walker Building,Auburn University,AL,36849,644,mixed,16107,3.7,,,,,,,,,
14,900 Arkadelphia Road,Birmingham,AL,35254,1103,terraced,16108,4.3,,,,,,,,,
33,900 Arkadelphia Road,Birmingham,AL,35254,1366,terraced,16109,4.2,,,,,,,,,
21,900 Arkadelphia Road,Birmingham,AL,35254,644,mixed,16110,4,,,,,,,,,
23,2602 College Dr,Phenix City,AL,36869,914,mixed,16111,4.1,,,,,,,,,
18,2602 College Dr,Phenix City,AL,36869,868,terraced,16112,4.3,,,,,,,,,
18,2602 College Dr,Phenix City,AL,36869,1131,terraced,16113,4.2,,,,,,,,,
23,2602 College Dr,Phenix City,AL,36869,1131,terraced,16114,4.1,,,,,,,,,
35,1804 Green Street,Selma,AL,36701,1387,terraced,16115,4.1,,,,,,,,,
6,"809 University Blvd., East",Tuscaloosa,AL,35401,1377,terraced,16116,4.2,,,,,,,,,
33,600 Plaza Drive,Enterprise,AL,36330-1300,914,mixed,16117,4.1,,,,,,,,,
33,600 Plaza Drive,Enterprise,AL,36330-1300,676,corridor,16118,4.1,,,,,,,,,
23,600 Plaza Drive,Enterprise,AL,36330-1300,1690,terraced,16119,4.4,,,,,,,,,
33,1900 US Hwy 31 S,Bay Minette,AL,36507-2698,1690,terraced,16120,4.4,,,,,,,,,
30,1900 US Hwy 31 S,Bay Minette,AL,36507-2698,1273,terraced,16121,4.2,,,,,,,,,
27,1900 US Hwy 31 S,Bay Minette,AL,36507-2698,1273,terraced,16122,4.1,,,,,,,,,
22,1900 US Hwy 31 S,Bay Minette,AL,36507-2698,508,corridor,16123,4.6,,,,,,,,,
6,1900 US Hwy 31 S,Bay Minette,AL,36507-2698,508,corridor,16124,4.9,,,,,,,,,
11,1900 US Hwy 31 S,Bay Minette,AL,36507-2698,547,corridor,16125,4.5,,,,,,,,,
37,1900 US Hwy 31 S,Bay Minette,AL,36507-2698,1437,terraced,16126,3.9,,,,,,,,,
18,1900 US Hwy 31 S,Bay Minette,AL,36507-2698,355,corridor,16127,3.9,,,,,,,,,
18,5345 Atlanta Hwy,Montgomery,AL,36109-3378,355,corridor,16128,3.8,,,,,,,,,
35,5345 Atlanta Hwy,Montgomery,AL,36109-3378,644,mixed,16129,3.5,,,,,,,,,
4,5345 Atlanta Hwy,Montgomery,AL,36109-3378,1184,mixed,16130,4.3,,,,,,,,,
7,5345 Atlanta Hwy,Montgomery,AL,36109-3378,1103,terraced,16131,4.1,,,,,,,,,
11,5345 Atlanta Hwy,Montgomery,AL,36109-3378,743,mixed,16132,4.4,,,,,,,,,
34,3225 Rainbow Drive Suite 246,Rainbow City,AL,35906,644,mixed,16133,4,,,,,,,,,
25,3225 Rainbow Drive Suite 246,Rainbow City,AL,35906,743,mixed,16134,4,,,,,,,,,
21,1001 George Wallace Dr,Gadsden,AL,35902-0227,914,mixed,16135,4.2,,,,,,,,,
12,1001 George Wallace Dr,Gadsden,AL,35902-0227,914,terraced,16136,4,,,,,,,,,
13,1001 George Wallace Dr,Gadsden,AL,35902-0227,914,terraced,16137,4,,,,,,,,,
27,1001 George Wallace Dr,Gadsden,AL,35902-0227,644,mixed,16138,3.9,,,,,,,,,
7,1001 George Wallace Dr,Gadsden,AL,35902-0227,644,mixed,16139,4.1,,,,,,,,,
37,1141 Wallace Drive,Dothan,AL,36303-9234,914,mixed,16140,4,,,,,,,,,
6,1141 Wallace Drive,Dothan,AL,36303-9234,1377,terraced,16141,4.3,,,,,,,,,
16,1141 Wallace Drive,Dothan,AL,36303-9234,868,terraced,16142,4.2,,,,,,,,,
32,1141 Wallace Drive,Dothan,AL,36303-9234,868,terraced,16143,3.2,,,,,,,,,
24,1141 Wallace Drive,Dothan,AL,36303-9234,868,terraced,16144,4.6,,,,,,,,,
1,1141 Wallace Drive,Dothan,AL,36303-9234,1387,terraced,16145,4.5,,,,,,,,,
5,801 Main St. P. O. Box 2000,Hanceville,AL,35077-2000,914,terraced,16146,4.6,,,,,,,,,
21,801 Main St. P. O. Box 2000,Hanceville,AL,35077-2000,868,terraced,16147,4.5,,,,,,,,,
8,801 Main St. P. O. Box 2000,Hanceville,AL,35077-2000,1192,terraced,16148,3.9,,,,,,,,,
4,801 Main St. P. O. Box 2000,Hanceville,AL,35077-2000,1131,terraced,16149,4.3,,,,,,,,,
34,801 Main St. P. O. Box 2000,Hanceville,AL,35077-2000,868,terraced,16150,4.1,,,,,,,,,
36,801 Main St. P. O. Box 2000,Hanceville,AL,35077-2000,914,mixed,16151,4.2,,,,,,,,,
28,801 Main St. P. O. Box 2000,Hanceville,AL,35077-2000,587,corridor,16152,4.3,,,,,,,,,
17,801 Main St. P. O. Box 2000,Hanceville,AL,35077-2000,1483,terraced,16153,4.4,,,,,,,,,
3,3000 Earl Goodwin Parkway,Selma,AL,36703-2808,1483,terraced,16154,4.1,,,,,,,,,
31,3000 Earl Goodwin Parkway,Selma,AL,36703-2808,1334,terraced,16155,4.4,,,,,,,,,
18,3000 Earl Goodwin Parkway,Selma,AL,36703-2808,1273,terraced,16156,4.3,,,,,,,,,
3,1500 East Fairview Avenue,Montgomery,AL,36106-2148,910,corridor,16157,4.4,,,,,,,,,
28,1500 East Fairview Avenue,Montgomery,AL,36106-2148,914,terraced,16158,4.4,,,,,,,,,
26,101 Sivley Road,Huntsville,AL,35801,644,mixed,16159,4,,,,,,,,,
26,"3625 Helton Dr, PO Box HCU",Florence,AL,35630-9977,914,mixed,16160,4.1,,,,,,,,,
4,3421 Meridian St North,Huntsville,AL,35811,2337,mixed,16161,4.3,,,,,,,,,
31,3421 Meridian St North,Huntsville,AL,35811,640,corridor,16162,4,,,,,,,,,
38,3421 Meridian St North,Huntsville,AL,35811,644,mixed,16163,4,,,,,,,,,
13,3421 Meridian St North,Huntsville,AL,35811,1394,terraced,16164,4.4,,,,,,,,,
31,5375 Ingram Road,Deatsville,AL,36022,576,corridor,16165,3.7,,,,,,,,,
14,700 Pelham Road North,Jacksonville,AL,36265,914,mixed,16166,4.1,,,,,,,,,
7,700 Pelham Road North,Jacksonville,AL,36265,640,corridor,16167,4.1,,,,,,,,,
7,700 Pelham Road North,Jacksonville,AL,36265,914,terraced,16168,4.1,,,,,,,,,
4,700 Pelham Road North,Jacksonville,AL,36265,355,corridor,16169,4.4,,,,,,,,,
39,700 Pelham Road North,Jacksonville,AL,36265,1366,terraced,16170,4.2,,,,,,,,,
31,700 Pelham Road North,Jacksonville,AL,36265,1796,terraced,16171,4.2,,,,,,,,,
30,700 Pelham Road North,Jacksonville,AL,36265,868,terraced,16172,4.2,,,,,,,,,
5,700 Pelham Road North,Jacksonville,AL,36265,868,terraced,16173,3.8,,,,,,,,,
13,220 Alco Dr,Brewton,AL,36426,903,terraced,16174,4.1,,,,,,,,,
29,220 Alco Dr,Brewton,AL,36426,1643,terraced,16175,4.9,,,,,,,,,
25,220 Alco Dr,Brewton,AL,36426,903,terraced,16176,4.5,,,,,,,,,
20,2601 Carson Rd,Birmingham,AL,35215-3098,1131,terraced,16177,3.6,,,,,,,,,
10,2601 Carson Rd,Birmingham,AL,35215-3098,914,terraced,16178,3.8,,,,,,,,,
11,2601 Carson Rd,Birmingham,AL,35215-3098,1131,terraced,16179,4.3,,,,,,,,,
14,2601 Carson Rd,Birmingham,AL,35215-3098,914,mixed,16180,4.3,,,,,,,,,
1,2601 Carson Rd,Birmingham,AL,35215-3098,558,mixed,16181,4.1,,,,,,,,,
28,2601 Carson Rd,Birmingham,AL,35215-3098,910,terraced,16182,4,,,,,,,,,
32,2601 Carson Rd,Birmingham,AL,35215-3098,907,mixed,16183,4.2,,,,,,,,,
17,6250 U S Highway 31 N,Tanner,AL,35671,587,corridor,16184,4.7,,,,,,,,,
30,6250 U S Highway 31 N,Tanner,AL,35671,587,corridor,16185,3.7,,,,,,,,,
22,6250 U S Highway 31 N,Tanner,AL,35671,1273,terraced,16186,4.3,,,,,,,,,
28,6250 U S Highway 31 N,Tanner,AL,35671,1273,terraced,16187,3.1,,,,,,,,,
6,6250 U S Highway 31 N,Tanner,AL,35671,1690,terraced,16188,3.3,,,,,,,,,
13,6250 U S Highway 31 N,Tanner,AL,35671,1483,terraced,16189,4.6,,,,,,,,,
19,302 Bibb St,Marion,AL,36756,1690,terraced,16190,4.5,,,,,,,,,
11,302 Bibb St,Marion,AL,36756,1690,terraced,16191,3.8,,,,,,,,,
19,205 North Washington Street,Livingston,AL,35470,1690,terraced,16192,3.9,,,,,,,,,
18,205 North Washington Street,Livingston,AL,35470,1690,terraced,16193,3.9,,,,,,,,,
7,205 North Washington Street,Livingston,AL,35470,508,corridor,16194,3.7,,,,,,,,,
34,1000 Dannelly Blvd.,Andalusia,AL,36420-1418,1149,terraced,16195,3.6,,,,,,,,,
6,1000 Dannelly Blvd.,Andalusia,AL,36420-1418,1437,terraced,16196,3.7,,,,,,,,,
25,1000 Dannelly Blvd.,Andalusia,AL,36420-1418,1412,terraced,16197,4.2,,,,,,,,,
5,1000 Dannelly Blvd.,Andalusia,AL,36420-1418,914,mixed,16198,4.3,,,,,,,,,
2,1101 Washington St,Marion,AL,36756,1103,terraced,16199,4,,,,,,,,,
6,5500 Myron Massey Blvd,Fairfield,AL,35064,1451,mixed,16200,4,,,,,,,,,
34,5500 Myron Massey Blvd,Fairfield,AL,35064,355,corridor,16201,4,,,,,,,,,
23,5735 College Parkway Drive,Mobile,AL,36663-0220,914,mixed,16202,4.1,,,,,,,,,
29,5735 College Parkway Drive,Mobile,AL,36663-0220,644,mixed,16203,4.1,,,,,,,,,
26,5735 College Parkway Drive,Mobile,AL,36663-0220,644,mixed,16204,4.2,,,,,,,,,
7,5735 College Parkway Drive,Mobile,AL,36663-0220,644,mixed,16205,4.3,,,,,,,,,
13,5735 College Parkway Drive,Mobile,AL,36663-0220,644,mixed,16206,4,,,,,,,,,
18,Station 6001,Montevallo,AL,35115,1288,mixed,16207,4.4,,,,,,,,,
7,Station 6001,Montevallo,AL,35115,743,mixed,16208,3,,,,,,,,,
12,Station 6001,Montevallo,AL,35115,914,mixed,16209,3.7,,,,,,,,,
4,Station 6001,Montevallo,AL,35115,914,mixed,16210,4.4,,,,,,,,,
25,Station 6001,Montevallo,AL,35115,1448,terraced,16211,4.4,,,,,,,,,
13,Station 6001,Montevallo,AL,35115,355,corridor,16212,3.9,,,,,,,,,
21,Station 6001,Montevallo,AL,35115,914,mixed,16213,4.9,,,,,,,,,
20,Station 6001,Montevallo,AL,35115,1103,terraced,16214,3.8,,,,,,,,,
34,800 George Wallace Blvd,Muscle Shoals,AL,35661,1103,terraced,16215,3.8,,,,,,,,,
31,800 George Wallace Blvd,Muscle Shoals,AL,35661,1451,mixed,16216,3.8,,,,,,,,,
13,800 George Wallace Blvd,Muscle Shoals,AL,35661,644,mixed,16217,3.7,,,,,,,,,
32,One Harrison Plaza,Florence,AL,35632-0001,1377,terraced,16218,4.1,,,,,,,,,
23,One Harrison Plaza,Florence,AL,35632-0001,868,terraced,16219,4.1,,,,,,,,,
22,One Harrison Plaza,Florence,AL,35632-0001,1387,terraced,16220,4.1,,,,,,,,,
28,One Harrison Plaza,Florence,AL,35632-0001,1377,terraced,16221,4.6,,,,,,,,,
7,One Harrison Plaza,Florence,AL,35632-0001,1387,terraced,16222,4.3,,,,,,,,,
11,One Harrison Plaza,Florence,AL,35632-0001,868,terraced,16223,4.2,,,,,,,,,
2,One Harrison Plaza,Florence,AL,35632-0001,868,terraced,16224,3.7,,,,,,,,,
1,One Harrison Plaza,Florence,AL,35632-0001,1131,terraced,16225,4.1,,,,,,,,,
22,138 Alabama Highway 35,Rainsville,AL,35986,914,terraced,16226,4.3,,,,,,,,,
31,138 Alabama Highway 35,Rainsville,AL,35986,1643,terraced,16227,4.2,,,,,,,,,
11,138 Alabama Highway 35,Rainsville,AL,35986,1131,terraced,16228,4.1,,,,,,,,,
3,2080 College Road,Phil Campbell,AL,35881,1643,terraced,16229,4.6,,,,,,,,,
39,7000 Adventist Blvd N.W.,Huntsville,AL,35896,676,corridor,16230,4.5,,,,,,,,,
8,7000 Adventist Blvd N.W.,Huntsville,AL,35896,587,corridor,16231,3.9,,,,,,,,,
29,7000 Adventist Blvd N.W.,Huntsville,AL,35896,1444,terraced,16232,4,,,,,,,,,
7,7000 Adventist Blvd N.W.,Huntsville,AL,35896,1483,terraced,16233,4.1,,,,,,,,,
30,7000 Adventist Blvd N.W.,Huntsville,AL,35896,1690,terraced,16234,3.4,,,,,,,,,
11,2800 South Alabama Avenue,Monroeville,AL,36460,1483,terraced,16235,4.9,,,,,,,,,
9,2800 South Alabama Avenue,Monroeville,AL,36460,1483,terraced,16236,3.9,,,,,,,,,
13,2800 South Alabama Avenue,Monroeville,AL,36460,1334,terraced,16237,3.7,,,,,,,,,
8,2800 South Alabama Avenue,Monroeville,AL,36460,1483,terraced,16238,0,,,,,,,,,
3,2800 South Alabama Avenue,Monroeville,AL,36460,508,corridor,16239,0,,,,,,,,,
35,2800 South Alabama Avenue,Monroeville,AL,36460,914,terraced,16240,4.3,,,,,,,,,
26,596 W. Lamont Road,Elmhurst,IL,60126,1437,terraced,16241,4,,,,,,,,,
18,596 W. Lamont Road,Elmhurst,IL,60126,1761,mixed,16242,4.1,,,,,,,,,
31,596 W. Lamont Road,Elmhurst,IL,60126,644,mixed,16243,4.3,,,,,,,,,
7,I-65 and Highway 83,Evergreen,AL,36401,1448,terraced,16244,4,,,,,,,,,
38,I-65 and Highway 83,Evergreen,AL,36401,914,mixed,16245,4.1,,,,,,,,,
35,I-65 and Highway 83,Evergreen,AL,36401,644,mixed,16246,4.1,,,,,,,,,
15,351 North Broad Street,Mobile,AL,36603-5362,1366,terraced,16247,4.2,,,,,,,,,
9,351 North Broad Street,Mobile,AL,36603-5362,1451,mixed,16248,4.2,,,,,,,,,
23,351 North Broad Street,Mobile,AL,36603-5362,644,mixed,16249,4.5,,,,,,,,,
5,351 North Broad Street,Mobile,AL,36603-5362,644,mixed,16250,4.9,,,,,,,,,
33,351 North Broad Street,Mobile,AL,36603-5362,914,mixed,16251,4.5,,,,,,,,,
5,800 Lakeshore Drive,Birmingham,AL,35229-2240,355,corridor,16252,4.1,,,,,,,,,
20,800 Lakeshore Drive,Birmingham,AL,35229-2240,2337,mixed,16253,4,,,,,,,,,
9,800 Lakeshore Drive,Birmingham,AL,35229-2240,1131,terraced,16254,3.2,,,,,,,,,
20,800 Lakeshore Drive,Birmingham,AL,35229-2240,1377,terraced,16255,4.5,,,,,,,,,
14,800 Lakeshore Drive,Birmingham,AL,35229-2240,814,terraced,16256,4.6,,,,,,,,,
6,800 Lakeshore Drive,Birmingham,AL,35229-2240,587,corridor,16257,4.4,,,,,,,,,
23,800 Lakeshore Drive,Birmingham,AL,35229-2240,676,corridor,16258,4.2,,,,,,,,,
14,800 Lakeshore Drive,Birmingham,AL,35229-2240,498,corridor,16259,4.3,,,,,,,,,
27,800 Lakeshore Drive,Birmingham,AL,35229-2240,1690,terraced,16260,4.8,,,,,,,,,
13,800 Lakeshore Drive,Birmingham,AL,35229-2240,1483,terraced,16261,4.2,,,,,,,,,
8,800 Lakeshore Drive,Birmingham,AL,35229-2240,1273,terraced,16262,4.1,,,,,,,,,
38,800 Lakeshore Drive,Birmingham,AL,35229-2240,451,corridor,16263,4.1,,,,,,,,,
1,800 Lakeshore Drive,Birmingham,AL,35229-2240,451,corridor,16264,4,,,,,,,,,
4,9500 Old Greensboro Rd,Tuscaloosa,AL,35405-8522,1437,terraced,16265,4.3,,,,,,,,,
33,9500 Old Greensboro Rd,Tuscaloosa,AL,35405-8522,1437,terraced,16266,3.8,,,,,,,,,
29,9500 Old Greensboro Rd,Tuscaloosa,AL,35405-8522,914,mixed,16267,4,,,,,,,,,
19,9500 Old Greensboro Rd,Tuscaloosa,AL,35405-8522,743,mixed,16268,4.2,,,,,,,,,
34,220 North Walnut Street,Boaz,AL,35957-0734,576,corridor,16269,3.6,,,,,,,,,
28,220 North Walnut Street,Boaz,AL,35957-0734,1761,mixed,16270,3.4,,,,,,,,,
36,220 North Walnut Street,Boaz,AL,35957-0734,1103,terraced,16271,3.3,,,,,,,,,
2,307 N University Blvd,Mobile,AL,36688-0002,1451,mixed,16272,3.4,,,,,,,,,
6,307 N University Blvd,Mobile,AL,36688-0002,914,mixed,16273,3.3,,,,,,,,,
20,307 N University Blvd,Mobile,AL,36688-0002,1761,mixed,16274,3.4,,,,,,,,,
38,307 N University Blvd,Mobile,AL,36688-0002,743,mixed,16275,3.5,,,,,,,,,
39,307 N University Blvd,Mobile,AL,36688-0002,914,mixed,16276,3.6,,,,,,,,,
9,307 N University Blvd,Mobile,AL,36688-0002,576,corridor,16277,3.5,,,,,,,,,
38,307 N University Blvd,Mobile,AL,36688-0002,2337,mixed,16278,3.6,,,,,,,,,
15,307 N University Blvd,Mobile,AL,36688-0002,1394,terraced,16279,3.7,,,,,,,,,
19,307 N University Blvd,Mobile,AL,36688-0002,1394,terraced,16280,3.6,,,,,,,,,
7,307 N University Blvd,Mobile,AL,36688-0002,1419,terraced,16281,3.8,,,,,,,,,
26,307 N University Blvd,Mobile,AL,36688-0002,914,mixed,16282,3.5,,,,,,,,,
5,307 N University Blvd,Mobile,AL,36688-0002,903,terraced,16283,3.5,,,,,,,,,
10,307 N University Blvd,Mobile,AL,36688-0002,1377,terraced,16284,3.6,,,,,,,,,
