ApartmentId,RoomType,ShareBath,FloorType,
8976,Master Bedroom,0,Other,
10279,Other,0,HardWood,
7947,Master Bedroom,1,Carpet,
6033,Guest Bedroom,1,Other,
4561,Master Bedroom,1,Carpet,
11473,Master Bedroom,1,Carpet,
9137,Other,1,Other,
7618,Master Bedroom,1,Laminate,
6668,Other,1,Carpet,
5563,Guest Bedroom,1,HardWood,
2894,Other,0,Other,
11414,Master Bedroom,1,Carpet,
3467,Master Bedroom,0,HardWood,
1673,Other,1,HardWood,
5336,Guest Bedroom,1,Carpet,
7320,Guest Bedroom,0,Other,
3306,Guest Bedroom,0,Other,
8975,Guest Bedroom,1,Carpet,
3733,Other,1,Other,
10444,Guest Bedroom,0,Carpet,
9808,Master Bedroom,0,Carpet,
1771,Other,1,Other,
9623,Guest Bedroom,1,HardWood,
308,Master Bedroom,0,Other,
7695,Master Bedroom,0,Carpet,
8564,Other,1,HardWood,
3101,Master Bedroom,1,HardWood,
5650,Guest Bedroom,0,Other,
4736,Other,0,Laminate,
6433,Other,1,Carpet,
1567,Master Bedroom,1,Other,
2838,Master Bedroom,0,Carpet,
6609,Master Bedroom,1,Laminate,
6715,Other,0,Carpet,
7730,Guest Bedroom,1,Laminate,
3656,Other,1,HardWood,
2273,Guest Bedroom,0,Laminate,
3068,Master Bedroom,0,Carpet,
4851,Master Bedroom,1,Carpet,
3232,Guest Bedroom,0,HardWood,
484,Master Bedroom,0,HardWood,
11265,Other,1,HardWood,
8684,Master Bedroom,1,Laminate,
6651,Guest Bedroom,1,Laminate,
1291,Guest Bedroom,1,Other,
1361,Guest Bedroom,0,Laminate,
6440,Guest Bedroom,1,Carpet,
5576,Master Bedroom,1,HardWood,
5751,Other,0,Other,
3606,Other,0,Carpet,
388,Other,1,Carpet,
5316,Guest Bedroom,0,Laminate,
2525,Other,1,HardWood,
10247,Guest Bedroom,0,HardWood,
2815,Other,1,Carpet,
10209,Guest Bedroom,1,Laminate,
4162,Guest Bedroom,0,Laminate,
7678,Other,1,Laminate,
498,Master Bedroom,1,Carpet,
1698,Other,1,HardWood,
6372,Guest Bedroom,0,HardWood,
3410,Guest Bedroom,1,Carpet,
2616,Master Bedroom,0,HardWood,
6575,Master Bedroom,1,Carpet,
3579,Other,1,Other,
10844,Other,0,Other,
11536,Guest Bedroom,0,Laminate,
6162,Master Bedroom,0,HardWood,
983,Other,0,Laminate,
6769,Guest Bedroom,0,HardWood,
3209,Other,0,HardWood,
10603,Other,1,Laminate,
1259,Guest Bedroom,0,Other,
4262,Guest Bedroom,0,HardWood,
8882,Other,1,Laminate,
9841,Other,1,Carpet,
9937,Guest Bedroom,0,Laminate,
10583,Other,1,Laminate,
7884,Master Bedroom,0,Carpet,
2804,Master Bedroom,0,Carpet,
2465,Other,1,Carpet,
9545,Other,0,Carpet,
3543,Guest Bedroom,0,Other,
4187,Guest Bedroom,1,Other,
4978,Master Bedroom,1,Laminate,
2838,Guest Bedroom,1,Laminate,
3604,Other,0,Carpet,
1879,Guest Bedroom,0,HardWood,
1868,Master Bedroom,0,Laminate,
3017,Guest Bedroom,1,Laminate,
3798,Master Bedroom,0,Laminate,
7490,Master Bedroom,1,Carpet,
3444,Other,0,Laminate,
10083,Master Bedroom,1,Other,
5784,Guest Bedroom,1,Other,
5549,Master Bedroom,0,Other,
8062,Master Bedroom,1,Carpet,
2289,Guest Bedroom,0,Other,
7642,Guest Bedroom,1,Laminate,
6941,Master Bedroom,0,HardWood,
10969,Master Bedroom,0,Laminate,
2288,Guest Bedroom,1,Laminate,
10115,Other,1,HardWood,
11507,Master Bedroom,1,HardWood,
6922,Master Bedroom,0,Carpet,
7625,Master Bedroom,1,Other,
2518,Other,1,Laminate,
3858,Master Bedroom,1,Laminate,
5610,Other,0,HardWood,
6333,Other,0,Laminate,
5330,Other,0,Laminate,
9691,Master Bedroom,0,Other,
2921,Master Bedroom,0,Laminate,
6105,Guest Bedroom,0,Laminate,
576,Other,0,Carpet,
10995,Guest Bedroom,1,Laminate,
9432,Guest Bedroom,0,Carpet,
10958,Other,1,Other,
1063,Master Bedroom,0,Carpet,
4302,Guest Bedroom,0,Laminate,
504,Other,1,HardWood,
8696,Guest Bedroom,0,Other,
11494,Other,0,HardWood,
8043,Master Bedroom,0,Other,
8554,Master Bedroom,0,Laminate,
24,Guest Bedroom,0,Carpet,
6888,Other,0,HardWood,
4444,Other,0,Laminate,
8965,Master Bedroom,1,Laminate,
11349,Guest Bedroom,1,Laminate,
2655,Guest Bedroom,0,Other,
6167,Guest Bedroom,1,Laminate,
7015,Other,1,Carpet,
919,Master Bedroom,1,HardWood,
4100,Guest Bedroom,1,HardWood,
736,Guest Bedroom,0,Other,
6530,Other,1,HardWood,
2655,Other,0,Laminate,
9490,Master Bedroom,0,Laminate,
6762,Master Bedroom,1,Laminate,
6153,Guest Bedroom,1,Laminate,
2079,Master Bedroom,0,Laminate,
10389,Other,0,Laminate,
6626,Guest Bedroom,1,Laminate,
4416,Other,0,Carpet,
11127,Master Bedroom,0,HardWood,
885,Guest Bedroom,0,HardWood,
11144,Other,0,HardWood,
2237,Other,1,HardWood,
9891,Master Bedroom,1,Other,
3427,Master Bedroom,0,HardWood,
7822,Master Bedroom,1,Other,
6460,Guest Bedroom,0,HardWood,
178,Other,0,Other,
2540,Master Bedroom,0,Carpet,
6147,Guest Bedroom,0,Carpet,
10158,Master Bedroom,0,Laminate,
4401,Guest Bedroom,1,Carpet,
4815,Master Bedroom,0,Other,
8726,Guest Bedroom,0,Other,
3700,Other,0,Carpet,
4701,Guest Bedroom,1,Carpet,
8157,Guest Bedroom,0,HardWood,
7084,Guest Bedroom,0,HardWood,
11512,Other,1,Laminate,
10204,Master Bedroom,1,Laminate,
5496,Guest Bedroom,0,Laminate,
2727,Guest Bedroom,1,Other,
11397,Other,1,Laminate,
5174,Master Bedroom,1,Carpet,
8747,Master Bedroom,1,Laminate,
746,Other,1,HardWood,
9944,Master Bedroom,1,Laminate,
11535,Guest Bedroom,0,Other,
7356,Master Bedroom,0,HardWood,
6583,Other,1,Carpet,
2139,Master Bedroom,1,Laminate,
1122,Other,1,Laminate,
5135,Guest Bedroom,0,HardWood,
7687,Master Bedroom,0,Other,
1835,Guest Bedroom,0,HardWood,
553,Master Bedroom,1,Carpet,
3756,Other,0,Carpet,
6550,Other,1,Carpet,
6853,Other,1,Other,
10506,Guest Bedroom,0,HardWood,
9390,Guest Bedroom,1,HardWood,
10944,Other,0,HardWood,
6883,Other,0,Carpet,
795,Master Bedroom,1,Carpet,
4270,Other,1,Other,
5785,Other,1,Carpet,
3381,Master Bedroom,0,Laminate,
4307,Guest Bedroom,0,Other,
9923,Master Bedroom,1,Other,
4599,Other,0,HardWood,
2162,Guest Bedroom,1,Laminate,
10127,Other,0,Carpet,
1962,Master Bedroom,0,Other,
9337,Other,1,Carpet,
5531,Other,0,HardWood,
8951,Other,1,Laminate,
4039,Master Bedroom,0,Other,
2477,Master Bedroom,0,HardWood,
10275,Other,0,Carpet,
1263,Guest Bedroom,1,Laminate,
3860,Other,1,Laminate,
4326,Master Bedroom,1,Other,
2320,Guest Bedroom,0,Laminate,
2621,Other,0,HardWood,
7048,Other,0,Other,
4852,Other,1,Carpet,
3034,Master Bedroom,0,Other,
3912,Other,1,Laminate,
11233,Master Bedroom,0,Carpet,
5573,Other,1,Laminate,
5108,Other,0,Carpet,
11545,Guest Bedroom,0,Other,
9914,Other,1,Laminate,
2357,Guest Bedroom,0,Laminate,
9946,Master Bedroom,1,Carpet,
8365,Master Bedroom,0,Other,
11443,Guest Bedroom,0,HardWood,
10898,Master Bedroom,0,Other,
9796,Master Bedroom,0,Other,
10704,Master Bedroom,0,Carpet,
5081,Other,1,Laminate,
1067,Other,1,Carpet,
7044,Guest Bedroom,1,HardWood,
3988,Master Bedroom,1,HardWood,
7013,Master Bedroom,0,HardWood,
1550,Other,1,Carpet,
11302,Master Bedroom,0,Carpet,
2242,Master Bedroom,1,HardWood,
11184,Master Bedroom,0,HardWood,
7035,Other,0,HardWood,
8386,Guest Bedroom,0,Other,
5571,Master Bedroom,1,Laminate,
5968,Master Bedroom,1,Laminate,
8516,Guest Bedroom,0,Other,
8118,Guest Bedroom,0,HardWood,
4085,Other,0,Other,
222,Guest Bedroom,0,HardWood,
849,Master Bedroom,0,Laminate,
3378,Other,1,Other,
1662,Master Bedroom,1,Carpet,
7549,Master Bedroom,1,Carpet,
10134,Guest Bedroom,0,HardWood,
1641,Master Bedroom,1,Carpet,
842,Master Bedroom,0,HardWood,
2164,Other,0,HardWood,
11552,Master Bedroom,0,Carpet,
11404,Guest Bedroom,1,HardWood,
2811,Master Bedroom,1,Carpet,
11131,Guest Bedroom,1,Other,
9217,Master Bedroom,0,Carpet,
9372,Master Bedroom,1,HardWood,
7274,Master Bedroom,1,Laminate,
1159,Other,0,Other,
72,Other,0,Carpet,
7512,Guest Bedroom,0,Other,
9847,Other,1,Carpet,
1411,Guest Bedroom,1,Other,
109,Guest Bedroom,1,Carpet,
10446,Other,1,Laminate,
7342,Guest Bedroom,0,HardWood,
6943,Master Bedroom,0,Carpet,
4452,Master Bedroom,0,Carpet,
3953,Guest Bedroom,0,HardWood,
8588,Other,1,HardWood,
8950,Guest Bedroom,1,Carpet,
9156,Other,1,Other,
9226,Other,0,Carpet,
10411,Other,0,Laminate,
1087,Master Bedroom,1,Other,
5656,Other,0,Carpet,
8852,Guest Bedroom,0,Laminate,
5111,Guest Bedroom,1,Laminate,
10653,Other,0,HardWood,
9133,Other,1,Laminate,
3835,Other,0,Other,
10512,Guest Bedroom,0,Carpet,
7334,Guest Bedroom,0,Laminate,
9789,Other,1,Other,
589,Guest Bedroom,1,Laminate,
4780,Master Bedroom,0,Laminate,
8925,Other,1,Carpet,
1571,Other,1,Other,
9868,Master Bedroom,0,Other,
292,Guest Bedroom,1,Laminate,
2997,Other,1,Carpet,
9732,Master Bedroom,1,Other,
2594,Guest Bedroom,0,HardWood,
8212,Guest Bedroom,1,Other,
4197,Guest Bedroom,1,Carpet,
11303,Guest Bedroom,1,Carpet,
3459,Master Bedroom,0,Laminate,
1743,Other,0,HardWood,
7101,Other,1,Other,
8693,Guest Bedroom,1,Other,
4921,Guest Bedroom,0,HardWood,
7495,Guest Bedroom,1,HardWood,
7799,Other,1,HardWood,
9362,Other,1,Laminate,
3880,Guest Bedroom,1,Other,
1724,Other,1,Other,
1653,Master Bedroom,1,Other,
1121,Other,0,Laminate,
9626,Other,0,Carpet,
7001,Other,1,Carpet,
1174,Master Bedroom,0,Other,
11562,Other,0,Carpet,
2729,Guest Bedroom,1,Carpet,
5704,Master Bedroom,0,HardWood,
3766,Guest Bedroom,1,Other,
5875,Guest Bedroom,1,Other,
4210,Guest Bedroom,0,Other,
10021,Master Bedroom,0,Carpet,
4933,Master Bedroom,1,HardWood,
7151,Guest Bedroom,1,Other,
1497,Guest Bedroom,1,Laminate,
10856,Other,1,Laminate,
5362,Guest Bedroom,1,HardWood,
1490,Other,1,Other,
4835,Guest Bedroom,0,Other,
2935,Master Bedroom,1,Carpet,
11358,Guest Bedroom,0,HardWood,
2600,Other,0,Laminate,
10503,Guest Bedroom,0,Carpet,
8444,Other,1,Other,
4122,Other,0,HardWood,
3642,Master Bedroom,0,Other,
7491,Master Bedroom,1,Carpet,
4642,Guest Bedroom,1,Laminate,
6360,Other,1,Other,
3757,Other,1,Other,
9653,Other,0,Laminate,
6439,Master Bedroom,1,HardWood,
6904,Master Bedroom,1,Laminate,
916,Master Bedroom,0,HardWood,
8838,Master Bedroom,0,Laminate,
3692,Other,1,Carpet,
1862,Guest Bedroom,1,Laminate,
8123,Master Bedroom,1,Other,
2131,Other,1,Carpet,
7111,Guest Bedroom,1,HardWood,
9891,Guest Bedroom,0,HardWood,
1933,Other,1,HardWood,
5660,Other,1,Carpet,
4366,Guest Bedroom,0,Other,
9428,Guest Bedroom,1,HardWood,
5929,Guest Bedroom,1,Other,
9797,Other,0,Other,
293,Master Bedroom,1,Carpet,
3306,Other,1,HardWood,
5074,Master Bedroom,1,Other,
6422,Master Bedroom,0,HardWood,
3642,Master Bedroom,0,Carpet,
8119,Guest Bedroom,1,Other,
7570,Master Bedroom,1,Carpet,
10632,Guest Bedroom,0,Other,
3638,Master Bedroom,1,Laminate,
3879,Other,0,Carpet,
8100,Master Bedroom,0,Laminate,
928,Other,0,Laminate,
6626,Other,1,Carpet,
4504,Master Bedroom,1,HardWood,
8986,Guest Bedroom,0,Laminate,
423,Master Bedroom,0,Carpet,
7079,Other,1,Laminate,
9619,Other,0,HardWood,
10195,Master Bedroom,1,Laminate,
1915,Guest Bedroom,0,HardWood,
5320,Other,1,HardWood,
