UniversityId,TenantId,Major_category,Gender,Peer rating,LandLord rating
120,120,Psychology & Social Work,male,4.4,4.4
121,121,Psychology & Social Work,male,4.4,4.4
122,122,Law & Public Policy,brand,4.2,4.2
123,123,Law & Public Policy,male,4.1,4.1
124,124,Law & Public Policy,brand,4.6,4.6
125,125,Psychology & Social Work,female,4.9,4.9
126,126,Psychology & Social Work,female,4.5,4.5
127,127,Social Science,brand,3.9,3.9
128,128,Social Science,male,3.9,3.9
129,129,Humanities & Liberal Arts,female,3.8,3.8
130,130,Social Science,brand,3.5,3.5
131,131,Social Science,female,4.3,4.3
132,132,Social Science,male,4.1,4.1
133,133,Social Science,female,4.4,4.4
134,134,Social Science,female,4,4
135,135,Social Science,male,4,4
136,136,Industrial Arts & Consumer Services,female,4.2,4.2
137,137,Industrial Arts & Consumer Services,brand,4,4
138,138,Industrial Arts & Consumer Services,,4,4
139,139,Arts,brand,3.9,3.9
140,140,Arts,female,4.1,4.1
141,141,Arts,male,4,4
142,142,Arts,female,4.3,4.3
143,143,Arts,female,4.2,4.2
144,144,Arts,male,3.2,3.2
145,145,Humanities & Liberal Arts,brand,4.6,4.6
146,146,Arts,unknown,4.5,4.5
147,147,Arts,brand,4.6,4.6
148,148,Health,female,4.5,4.5
149,149,Health,brand,3.9,3.9
150,150,Health,female,4.3,4.3
151,151,Health,brand,4.1,4.1
152,152,Health,female,4.2,4.2
153,153,Health,female,4.3,4.3
154,154,Health,brand,4.4,4.4
155,155,Health,female,4.1,4.1
156,156,Health,brand,4.4,4.4
157,157,Health,male,4.3,4.3
158,158,Health,male,4.4,4.4
159,159,Business,brand,4.4,4.4
160,160,Business,female,4,4
161,161,Business,brand,4.1,4.1
162,162,Business,male,4.3,4.3
163,163,Business,female,4,4
164,164,Business,male,4,4
165,165,Business,unknown,4.4,4.4
166,166,Business,male,3.7,3.7
167,167,Business,male,4.1,4.1
168,168,Business,male,4.1,4.1
169,169,Business,brand,4.1,4.1
170,170,Business,brand,4.4,4.4
171,171,Business,brand,4.2,4.2
172,172,Humanities & Liberal Arts,brand,4.2,4.2
173,173,Humanities & Liberal Arts,female,4.2,4.2
174,174,Education,brand,3.8,3.8
175,175,Biology & Life Science,brand,4.1,4.1
176,176,Biology & Life Science,female,4.9,4.9
177,177,Biology & Life Science,brand,4.5,4.5
178,178,Biology & Life Science,male,3.6,3.6
179,179,Biology & Life Science,female,3.8,3.8
180,180,Biology & Life Science,male,4.3,4.3
181,181,Biology & Life Science,female,4.3,4.3
182,182,Biology & Life Science,brand,4.1,4.1
183,183,Biology & Life Science,female,4,4
184,184,Biology & Life Science,brand,4.2,4.2
185,185,Biology & Life Science,female,4.7,4.7
186,186,Biology & Life Science,brand,3.7,3.7
187,187,Computers & Mathematics,female,4.3,4.3
188,188,Computers & Mathematics,female,3.1,3.1
189,189,Computers & Mathematics,male,3.3,3.3
190,190,Industrial Arts & Consumer Services,female,4.6,4.6
191,191,Interdisciplinary,brand,4.5,4.5
192,192,Humanities & Liberal Arts,brand,3.8,3.8
193,193,Health,male,3.9,3.9
194,194,Computers & Mathematics,male,3.9,3.9
195,195,Biology & Life Science,brand,3.7,3.7
196,196,Social Science,male,3.6,3.6
197,197,Industrial Arts & Consumer Services,male,3.7,3.7
198,198,Humanities & Liberal Arts,unknown,4.2,4.2
199,199,Humanities & Liberal Arts,male,4.3,4.3
200,200,Physical Sciences,female,4,4
201,201,Physical Sciences,brand,4,4
202,202,Physical Sciences,unknown,4,4
203,203,Physical Sciences,brand,4.1,4.1
204,204,Physical Sciences,female,4.1,4.1
205,205,Physical Sciences,female,4.2,4.2
206,206,Physical Sciences,brand,4.3,4.3
207,207,Physical Sciences,male,4,4
208,208,Engineering,brand,4.4,4.4
209,209,Physical Sciences,male,3,3
210,210,Physical Sciences,brand,3.7,3.7
211,211,Psychology & Social Work,brand,4.4,4.4
212,212,Psychology & Social Work,brand,4.4,4.4
213,213,Psychology & Social Work,female,3.9,3.9
214,214,Psychology & Social Work,female,4.9,4.9
215,215,Psychology & Social Work,male,3.8,3.8
216,216,Psychology & Social Work,female,3.8,3.8
217,217,Psychology & Social Work,female,3.8,3.8
218,218,Law & Public Policy,female,3.7,3.7
219,219,Law & Public Policy,male,4.1,4.1
220,220,Law & Public Policy,male,4.1,4.1
221,221,Psychology & Social Work,male,4.1,4.1
222,222,Psychology & Social Work,female,4.6,4.6
223,223,Social Science,male,4.3,4.3
224,224,Social Science,unknown,4.2,4.2
225,225,Humanities & Liberal Arts,male,3.7,3.7
226,226,Social Science,male,4.1,4.1
227,227,Social Science,male,4.3,4.3
228,228,Social Science,female,4.2,4.2
229,229,Social Science,brand,4.1,4.1
230,230,Social Science,male,4.6,4.6
231,231,Social Science,female,4.5,4.5
232,232,Industrial Arts & Consumer Services,female,3.9,3.9
233,233,Industrial Arts & Consumer Services,male,4,4
234,234,Industrial Arts & Consumer Services,brand,4.1,4.1
235,235,Arts,female,3.4,3.4
236,236,Arts,brand,4.9,4.9
237,237,Arts,brand,3.9,3.9
238,238,Arts,male,3.7,3.7
239,239,Arts,male,0,0
240,240,Arts,female,0,0
241,241,Humanities & Liberal Arts,male,4.3,4.3
242,242,Arts,male,4,4
243,243,Arts,brand,4.1,4.1
244,244,Health,male,4.3,4.3
245,245,Health,unknown,4,4
246,246,Health,female,4.1,4.1
247,247,Health,female,4.1,4.1
248,248,Health,female,4.2,4.2
249,249,Health,female,4.2,4.2
250,250,Health,brand,4.5,4.5
251,251,Health,brand,4.9,4.9
252,252,Health,male,4.5,4.5
253,253,Health,brand,4.1,4.1
254,254,Health,female,4,4
255,255,Business,unknown,3.2,3.2
256,256,Business,female,4.5,4.5
257,257,Business,brand,4.6,4.6
258,258,Business,female,4.4,4.4
259,259,Business,brand,4.2,4.2
260,260,Business,brand,4.3,4.3
261,261,Business,male,4.8,4.8
262,262,Business,female,4.2,4.2
263,263,Business,male,4.1,4.1
264,264,Business,male,4.1,4.1
265,265,Business,male,4,4
266,266,Business,male,4.3,4.3
267,267,Business,female,3.8,3.8
268,268,Humanities & Liberal Arts,female,4,4
269,269,Humanities & Liberal Arts,brand,4.2,4.2
270,270,Education,brand,3.6,3.6
271,271,Biology & Life Science,male,3.4,3.4
272,272,Biology & Life Science,female,3.3,3.3
273,273,Biology & Life Science,brand,3.4,3.4
274,274,Biology & Life Science,brand,3.3,3.3
275,275,Biology & Life Science,male,3.4,3.4
276,276,Biology & Life Science,male,3.5,3.5
277,277,Biology & Life Science,female,3.6,3.6
278,278,Biology & Life Science,female,3.5,3.5
279,279,Biology & Life Science,brand,3.6,3.6
280,280,Biology & Life Science,brand,3.7,3.7
281,281,Biology & Life Science,male,3.6,3.6
282,282,Biology & Life Science,male,3.8,3.8
283,283,Computers & Mathematics,female,3.5,3.5
284,284,Computers & Mathematics,female,3.5,3.5
285,285,Computers & Mathematics,female,3.6,3.6
286,286,Industrial Arts & Consumer Services,male,3.6,3.6
287,287,Interdisciplinary,brand,3.6,3.6
288,288,Humanities & Liberal Arts,female,3.5,3.5
289,289,Health,female,3.7,3.7
290,290,Computers & Mathematics,male,3.6,3.6
291,291,Biology & Life Science,female,4.1,4.1
292,292,Social Science,female,3.7,3.7
293,293,Industrial Arts & Consumer Services,male,3.5,3.5
294,294,Humanities & Liberal Arts,male,3.7,3.7
295,295,Humanities & Liberal Arts,brand,4.4,4.4
296,296,Physical Sciences,brand,4.1,4.1
297,297,Physical Sciences,female,3.8,3.8
298,298,Physical Sciences,female,3.9,3.9
299,299,Physical Sciences,brand,3.9,3.9
300,300,Physical Sciences,female,4.4,4.4
301,301,Physical Sciences,brand,4.1,4.1
302,302,Physical Sciences,brand,3.8,3.8
303,303,Physical Sciences,female,4.3,4.3
304,304,Engineering,brand,4.1,4.1
305,305,Physical Sciences,male,4.9,4.9
306,306,Physical Sciences,male,4.6,4.6
307,307,Psychology & Social Work,female,3.8,3.8
308,308,Psychology & Social Work,male,4.2,4.2
309,309,Psychology & Social Work,female,4.3,4.3
310,310,Psychology & Social Work,male,4.2,4.2
311,311,Psychology & Social Work,male,3.8,3.8
312,312,Psychology & Social Work,male,3.9,3.9
313,313,Psychology & Social Work,female,2.2,2.2
314,314,Law & Public Policy,unknown,4,4
315,315,Law & Public Policy,male,3.8,3.8
316,316,Law & Public Policy,male,3.8,3.8
317,317,Psychology & Social Work,female,4.1,4.1
318,318,Psychology & Social Work,male,3.7,3.7
319,319,Social Science,female,3.8,3.8
320,320,Social Science,male,3.6,3.6
321,321,Humanities & Liberal Arts,male,4.5,4.5
322,322,Social Science,brand,3.6,3.6
323,323,Social Science,brand,3.5,3.5
324,324,Social Science,brand,3.9,3.9
325,325,Social Science,female,4.9,4.9
326,326,Social Science,brand,4.6,4.6
327,327,Social Science,female,4.5,4.5
328,328,Industrial Arts & Consumer Services,female,4.5,4.5
329,329,Industrial Arts & Consumer Services,female,3.8,3.8
330,330,Industrial Arts & Consumer Services,brand,4.1,4.1
331,331,Arts,brand,4,4
332,332,Arts,male,4.3,4.3
333,333,Arts,unknown,4.2,4.2
334,334,Arts,male,4.2,4.2
335,335,Arts,brand,3.7,3.7
336,336,Arts,female,3.7,3.7
337,337,Humanities & Liberal Arts,male,3.7,3.7
338,338,Arts,female,3.8,3.8
339,339,Arts,female,4.1,4.1
340,340,Health,female,4,4
341,341,Health,male,4.2,4.2
342,342,Health,female,4,4
343,343,Health,brand,4.1,4.1
344,344,Health,male,2.9,2.9
345,345,Health,female,2.4,2.4
346,346,Health,female,3.8,3.8
347,347,Health,brand,3.4,3.4
348,348,Health,male,3.6,3.6
349,349,Health,female,2.4,2.4
350,350,Health,brand,3.6,3.6
351,351,Business,brand,4.4,4.4
352,352,Business,male,4.5,4.5
353,353,Business,female,4.7,4.7
354,354,Business,male,4.3,4.3
355,355,Business,brand,4.6,4.6
356,356,Business,male,4.6,4.6
357,357,Business,male,4.3,4.3
358,358,Business,female,4.4,4.4
359,359,Business,brand,4.6,4.6
360,360,Business,female,4.4,4.4
361,361,Business,brand,4.4,4.4
362,362,Business,male,4.8,4.8
363,363,Business,male,4.9,4.9
364,364,Humanities & Liberal Arts,brand,4.9,4.9
365,365,Humanities & Liberal Arts,brand,4.7,4.7
366,366,Education,male,3.6,3.6
367,367,Biology & Life Science,male,4.2,4.2
368,368,Biology & Life Science,female,4.4,4.4
369,369,Biology & Life Science,female,4.4,4.4
370,370,Biology & Life Science,male,4.4,4.4
371,371,Biology & Life Science,brand,4.4,4.4
372,372,Biology & Life Science,female,2.6,2.6
373,373,Biology & Life Science,male,3.4,3.4
374,374,Biology & Life Science,brand,4.2,4.2
375,375,Biology & Life Science,male,4.9,4.9
376,376,Biology & Life Science,male,4.6,4.6
377,377,Biology & Life Science,brand,4.5,4.5
378,378,Biology & Life Science,female,3.7,3.7
379,379,Computers & Mathematics,brand,3.9,3.9
380,380,Computers & Mathematics,male,3.7,3.7
381,381,Computers & Mathematics,male,4.2,4.2
382,382,Industrial Arts & Consumer Services,brand,4.1,4.1
383,383,Interdisciplinary,brand,4.4,4.4
384,384,Humanities & Liberal Arts,male,4.3,4.3
385,385,Health,brand,4,4
386,386,Computers & Mathematics,male,4.1,4.1
387,387,Biology & Life Science,brand,3.9,3.9
388,388,Social Science,female,3.5,3.5
389,389,Industrial Arts & Consumer Services,female,4.2,4.2
390,390,Humanities & Liberal Arts,unknown,4.4,4.4
391,391,Humanities & Liberal Arts,female,4.3,4.3
392,392,Physical Sciences,female,4.7,4.7
393,393,Physical Sciences,brand,4.4,4.4
394,394,Physical Sciences,male,3.7,3.7
395,395,Physical Sciences,male,3.7,3.7
396,396,Physical Sciences,male,3.5,3.5
397,397,Physical Sciences,female,3.6,3.6
398,398,Physical Sciences,male,3.6,3.6
399,399,Physical Sciences,male,3.7,3.7
400,400,Engineering,brand,3.6,3.6
401,401,Physical Sciences,female,3.5,3.5
402,402,Physical Sciences,female,3.8,3.8
403,403,Psychology & Social Work,female,3.8,3.8
404,404,Psychology & Social Work,female,3.7,3.7
405,405,Psychology & Social Work,male,3.5,3.5
406,406,Psychology & Social Work,male,3.7,3.7
407,407,Psychology & Social Work,unknown,3.6,3.6
408,408,Psychology & Social Work,male,3.6,3.6
409,409,Psychology & Social Work,female,3.6,3.6
410,410,Law & Public Policy,female,3.8,3.8
411,411,Law & Public Policy,brand,3.7,3.7
412,412,Law & Public Policy,female,3.6,3.6
413,413,Psychology & Social Work,male,0,0
414,414,Psychology & Social Work,male,4.1,4.1
415,415,Social Science,unknown,3.3,3.3
416,416,Social Science,brand,4,4
417,417,Humanities & Liberal Arts,brand,4.5,4.5
418,418,Social Science,male,4.7,4.7
419,419,Social Science,brand,4.7,4.7
420,420,Social Science,female,4.5,4.5
421,421,Social Science,brand,4.5,4.5
422,422,Social Science,brand,4.2,4.2
423,423,Social Science,brand,4.2,4.2
424,424,Industrial Arts & Consumer Services,male,4.6,4.6
425,425,Industrial Arts & Consumer Services,brand,4.2,4.2
426,426,Industrial Arts & Consumer Services,male,4.4,4.4
427,427,Arts,brand,4.3,4.3
428,428,Arts,male,4.3,4.3
429,429,Arts,male,4.9,4.9
430,430,Arts,female,4.9,4.9
431,431,Arts,brand,4.6,4.6
432,432,Arts,male,3.9,3.9
433,433,Humanities & Liberal Arts,male,4.4,4.4
434,434,Arts,brand,4,4
435,435,Arts,brand,4.2,4.2
436,436,Health,female,4.2,4.2
437,437,Health,female,3.3,3.3
438,438,Health,brand,4.7,4.7
439,439,Health,brand,4.6,4.6
440,440,Health,brand,4.5,4.5
441,441,Health,male,4.5,4.5
442,442,Health,female,3.7,3.7
443,443,Health,female,3.8,3.8
444,444,Health,female,4.1,4.1
445,445,Health,male,4.4,4.4
446,446,Health,female,4.2,4.2
447,447,Business,brand,4.1,4.1
448,448,Business,female,4.1,4.1
449,449,Business,brand,4.3,4.3
450,450,Business,female,4.3,4.3
451,451,Business,male,4,4
452,452,Business,female,4.3,4.3
453,453,Business,male,4.4,4.4
454,454,Business,female,4.1,4.1
455,455,Business,brand,3.8,3.8
456,456,Business,brand,3.9,3.9
457,457,Business,brand,3.4,3.4
458,458,Business,brand,4,4
459,459,Business,brand,3.8,3.8
460,460,Humanities & Liberal Arts,brand,3.1,3.1
461,461,Humanities & Liberal Arts,brand,3.8,3.8
462,462,Education,female,3.9,3.9
463,463,Biology & Life Science,male,4.2,4.2
464,464,Biology & Life Science,brand,4.1,4.1
465,465,Biology & Life Science,brand,3.2,3.2
466,466,Biology & Life Science,brand,3.2,3.2
467,467,Biology & Life Science,brand,3.7,3.7
468,468,Biology & Life Science,brand,3,3
469,469,Biology & Life Science,male,3.8,3.8
470,470,Biology & Life Science,male,3.9,3.9
471,471,Biology & Life Science,brand,3.1,3.1
472,472,Biology & Life Science,male,3.2,3.2
473,473,Biology & Life Science,brand,3.2,3.2
474,474,Biology & Life Science,brand,3.8,3.8
475,475,Computers & Mathematics,female,3.9,3.9
476,476,Computers & Mathematics,brand,3.2,3.2
477,477,Computers & Mathematics,unknown,3.7,3.7
478,478,Industrial Arts & Consumer Services,brand,3.6,3.6
479,479,Interdisciplinary,female,3.8,3.8
480,480,Humanities & Liberal Arts,brand,3.6,3.6
481,481,Health,brand,3.7,3.7
482,482,Computers & Mathematics,female,3.6,3.6
483,483,Biology & Life Science,brand,3.8,3.8
484,484,Social Science,female,3.8,3.8
485,485,Industrial Arts & Consumer Services,brand,3.7,3.7
486,486,Humanities & Liberal Arts,female,3.9,3.9
487,487,Humanities & Liberal Arts,brand,3.7,3.7
488,488,Physical Sciences,brand,3.8,3.8
489,489,Physical Sciences,male,3.7,3.7
490,490,Physical Sciences,male,3.7,3.7
491,491,Physical Sciences,unknown,3.8,3.8
492,492,Physical Sciences,unknown,3.9,3.9
493,493,Physical Sciences,male,4,4
494,494,Physical Sciences,brand,4,4
495,495,Physical Sciences,female,4,4
496,496,Engineering,brand,3.5,3.5
497,497,Physical Sciences,,4.6,4.6
498,498,Physical Sciences,male,4.6,4.6
499,499,Psychology & Social Work,female,4.1,4.1
500,500,Psychology & Social Work,male,4.1,4.1
501,501,Psychology & Social Work,male,4.1,4.1
502,502,Psychology & Social Work,male,4.7,4.7
503,503,Psychology & Social Work,male,3.9,3.9
504,504,Psychology & Social Work,male,3.9,3.9
505,505,Psychology & Social Work,male,4.4,4.4
506,506,Law & Public Policy,unknown,4.4,4.4
507,507,Law & Public Policy,female,4.2,4.2
508,508,Law & Public Policy,female,4.9,4.9
509,509,Psychology & Social Work,female,4.5,4.5
510,510,Psychology & Social Work,female,4.9,4.9
511,511,Social Science,male,4.5,4.5
512,512,Social Science,male,4.7,4.7
513,513,Humanities & Liberal Arts,brand,4.8,4.8
514,514,Social Science,brand,4.5,4.5
515,515,Social Science,male,4,4
516,516,Social Science,female,4.4,4.4
517,517,Social Science,brand,4.4,4.4
518,518,Social Science,female,4.1,4.1
519,519,Social Science,male,3.4,3.4
520,520,Industrial Arts & Consumer Services,unknown,3.1,3.1
521,521,Industrial Arts & Consumer Services,male,3.9,3.9
522,522,Industrial Arts & Consumer Services,female,3.7,3.7
523,523,Arts,male,3.8,3.8
524,524,Arts,brand,3.7,3.7
525,525,Arts,male,3.8,3.8
526,526,Arts,unknown,3.7,3.7
527,527,Arts,male,3.7,3.7
528,528,Arts,brand,3.7,3.7
529,529,Humanities & Liberal Arts,brand,3.9,3.9
530,530,Arts,female,3.8,3.8
531,531,Arts,brand,3.5,3.5
532,532,Health,male,3.9,3.9
533,533,Health,male,3.7,3.7
534,534,Health,female,3.5,3.5
535,535,Health,unknown,3.8,3.8
536,536,Health,unknown,3.8,3.8
537,537,Health,brand,3.8,3.8
538,538,Health,male,4.1,4.1
539,539,Health,female,4.3,4.3
540,540,Health,unknown,3.6,3.6
541,541,Health,brand,4.3,4.3
542,542,Health,male,3.2,3.2
543,543,Business,brand,3.7,3.7
544,544,Business,female,3.9,3.9
545,545,Business,unknown,3.8,3.8
546,546,Business,female,3.7,3.7
547,547,Business,female,3.6,3.6
548,548,Business,male,3.6,3.6
549,549,Business,brand,3.6,3.6
550,550,Business,brand,3.8,3.8
551,551,Business,brand,3.7,3.7
552,552,Business,brand,3.6,3.6
553,553,Business,female,3.6,3.6
554,554,Business,male,3.6,3.6
555,555,Business,male,3.6,3.6
556,556,Humanities & Liberal Arts,male,3.6,3.6
557,557,Humanities & Liberal Arts,male,3.7,3.7
558,558,Education,male,3.6,3.6
559,559,Biology & Life Science,male,3.7,3.7
560,560,Biology & Life Science,female,3.5,3.5
561,561,Biology & Life Science,female,3.9,3.9
562,562,Biology & Life Science,female,3.9,3.9
563,563,Biology & Life Science,female,3.2,3.2
564,564,Biology & Life Science,male,3.3,3.3
565,565,Biology & Life Science,female,4.6,4.6
566,566,Biology & Life Science,female,4.6,4.6
567,567,Biology & Life Science,brand,4.4,4.4
568,568,Biology & Life Science,female,4.3,4.3
569,569,Biology & Life Science,female,4.2,4.2
570,570,Biology & Life Science,brand,4.6,4.6
571,571,Computers & Mathematics,brand,4.1,4.1
572,572,Computers & Mathematics,unknown,4.4,4.4
573,573,Computers & Mathematics,brand,4,4
574,574,Industrial Arts & Consumer Services,unknown,3.6,3.6
575,575,Interdisciplinary,brand,4.5,4.5
576,576,Humanities & Liberal Arts,male,4,4
577,577,Health,male,4,4
578,578,Computers & Mathematics,brand,4,4
579,579,Biology & Life Science,female,4.3,4.3
580,580,Social Science,brand,4,4
581,581,Industrial Arts & Consumer Services,brand,4.9,4.9
582,582,Humanities & Liberal Arts,male,4.7,4.7
583,583,Humanities & Liberal Arts,,4.2,4.2
584,584,Physical Sciences,unknown,4.6,4.6
585,585,Physical Sciences,male,3.9,3.9
586,586,Physical Sciences,unknown,4.1,4.1
587,587,Physical Sciences,brand,4.3,4.3
588,588,Physical Sciences,unknown,4.5,4.5
589,589,Physical Sciences,male,4.5,4.5
590,590,Physical Sciences,brand,4.9,4.9
591,591,Physical Sciences,brand,4.9,4.9
592,592,Engineering,male,4.8,4.8
593,593,Physical Sciences,brand,4.5,4.5
594,594,Physical Sciences,male,4.5,4.5
595,595,Psychology & Social Work,male,4.3,4.3
596,596,Psychology & Social Work,male,4.3,4.3
597,597,Psychology & Social Work,female,4.4,4.4
598,598,Psychology & Social Work,unknown,4.9,4.9
599,599,Psychology & Social Work,female,4.4,4.4
600,600,Psychology & Social Work,female,3.2,3.2
601,601,Psychology & Social Work,male,4.7,4.7
602,602,Law & Public Policy,brand,4.3,4.3
603,603,Law & Public Policy,brand,3.7,3.7
604,604,Law & Public Policy,brand,4.3,4.3
605,605,Psychology & Social Work,female,3.9,3.9
606,606,Psychology & Social Work,male,3.8,3.8
607,607,Social Science,female,4.1,4.1
608,608,Social Science,brand,4.3,4.3
609,609,Humanities & Liberal Arts,female,3.9,3.9
610,610,Social Science,unknown,4.1,4.1
611,611,Social Science,female,4.1,4.1
612,612,Social Science,male,4.2,4.2
613,613,Social Science,female,4.1,4.1
614,614,Social Science,unknown,2.4,2.4
615,615,Social Science,male,4.2,4.2
616,616,Industrial Arts & Consumer Services,female,4.2,4.2
617,617,Industrial Arts & Consumer Services,brand,4.2,4.2
618,618,Industrial Arts & Consumer Services,female,3.8,3.8
619,619,Arts,male,3.9,3.9
620,620,Arts,female,4.8,4.8
621,621,Arts,female,4.1,4.1
622,622,Arts,unknown,4.5,4.5
623,623,Arts,male,3.8,3.8
624,624,Arts,female,4.2,4.2
625,625,Humanities & Liberal Arts,male,3.9,3.9
626,626,Arts,female,3.5,3.5
627,627,Arts,female,3.6,3.6
628,628,Health,brand,4,4
629,629,Health,brand,4.2,4.2
630,630,Health,female,4,4
631,631,Health,brand,4.3,4.3
632,632,Health,male,4,4
633,633,Health,unknown,3.6,3.6
634,634,Health,brand,3.8,3.8
635,635,Health,brand,3.9,3.9
636,636,Health,female,4.1,4.1
637,637,Health,male,3.4,3.4
638,638,Health,female,4.9,4.9
639,639,Business,female,3.8,3.8
640,640,Business,female,3.9,3.9
641,641,Business,female,3.7,3.7
642,642,Business,female,4.4,4.4
643,643,Business,brand,4.2,4.2
644,644,Business,female,4.1,4.1
645,645,Business,male,4.2,4.2
646,646,Business,male,3.7,3.7
647,647,Business,female,4.5,4.5
648,648,Business,male,4.1,4.1
649,649,Business,brand,4.3,4.3
650,650,Business,female,4.4,4.4
651,651,Business,female,4.4,4.4
652,652,Humanities & Liberal Arts,female,3.8,3.8
653,653,Humanities & Liberal Arts,male,3.6,3.6
654,654,Education,male,4.6,4.6
655,655,Biology & Life Science,female,4.4,4.4
